commodity,spec,n_obs,r_squared,rmse_train,dw_stat,beta_tonnage,beta_tonnage_se,beta_lag4,beta_lag4_eq_1_pval,beta_m1,beta_m2,beta_m3,chow_fstat,chow_pval,chow_break_at,rmse_valid,rmse_naive,ratio_vs_naive,r_squared_oos,n_oos,coverage_80,coverage_95,production_choice
coal_met,aggregate,23,0.6764188310452707,0.042444335722228305,2.4419728569986567,0.27552832597405924,0.14307164233339736,0.7791174905077697,0.05862434384055232,NA,NA,NA,0.7428593683952927,0.5411399207877872,2022-09-30,1.84104012357955,2.2499916955020125,0.8182430749677864,0.18968486557005393,7,0.5714285714285714,0.8571428571428571,FALSE
coal_met,bojo,23,0.19937136323851365,0.04583417797823071,2.364935389516475,0.3271395751722742,0.13593543681021017,NA,NA,NA,NA,NA,0.281841652366391,0.757492403984939,2022-09-30,1.9409686000558026,2.2499916955020125,0.8626558951021989,0.09933256074711994,7,0.7142857142857143,0.7142857142857143,FALSE
coal_met,equal_avg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7028022316956246,2.2499916955020125,0.7568037851427268,0.3068042928080448,0,NA,NA,FALSE
coal_met,inv_mse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4642639482928386,2.2499916955020125,0.6507863789986725,0.48741465826476615,0,NA,NA,FALSE
coal_met,lagged,22,0.7112792343550507,0.039864387321661796,2.1814299072212786,0.38586028927969923,0.16014734771645667,0.8051463687064889,0.09933266781986824,NA,NA,NA,1.192825006613175,0.35675133628380373,2022-12-31,2.384783698561753,2.2499916955020125,1.059907778028339,-0.35964469311348446,7,0.5714285714285714,0.8571428571428571,FALSE
coal_met,midas,23,0.7602738761851412,0.03653303919788921,2.6938994175766293,0.22259498746779993,0.1014690840393977,0.7365432749789707,5.372488006769659e-4,-0.010972117038706422,0.25235422201890106,-0.018787117512394723,1.2060168001617426,0.35966070354910296,2022-09-30,1.1028444208731452,2.2499916955020125,0.4901548850504007,0.7092257500294614,7,0.8571428571428571,1,TRUE
coal_met,price_aug,23,0.7095573536005919,0.04021224443810994,2.571846331705467,0.346122209710435,0.1283364578261983,0.7419932292553089,0.016131644447558154,NA,NA,NA,1.7671116613968458,0.18800053925674845,2022-09-30,1.792196364221763,2.2499916955020125,0.7965346573520987,0.23211068049916972,7,0.5714285714285714,0.7142857142857143,FALSE
coal_thermal,aggregate,23,0.677212077942657,0.045363370536342436,1.9399364723117083,1.0984679009523743,0.18369017939719492,0.5630351197062307,9.047556315021951e-4,NA,NA,NA,1.7353554076377269,0.19770067723073148,2022-09-30,3.1584655961314207,2.48829775354441,1.269327833307892,0.41167983376620876,7,0.5714285714285714,0.7142857142857143,FALSE
coal_thermal,bojo,23,0.7559214913088458,0.053247486613010056,1.8850211592262323,1.3402953106063533,0.2121465749483363,NA,NA,NA,NA,NA,3.1852638923295715,0.06412523066590498,2022-09-30,2.207299358849666,2.48829775354441,0.88707203778387,0.7126680579731017,7,0.8571428571428571,0.8571428571428571,TRUE
coal_thermal,equal_avg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.570670308732153,2.48829775354441,1.0331039784408473,0.6102786512801373,0,NA,NA,FALSE
coal_thermal,inv_mse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4295299694110226,2.48829775354441,0.9763823344494537,0.6518984514831765,0,NA,NA,FALSE
coal_thermal,lagged,22,0.7908424766828901,0.03698236988231391,1.7365858780950347,1.1724995640471965,0.14530868815840872,0.6652049079944534,0.0025799971576004254,NA,NA,NA,1.9575802320760216,0.15663374498763266,2022-12-31,2.9219314121411615,2.48829775354441,1.1742691998893902,0.49649768864119215,7,0.2857142857142857,0.7142857142857143,FALSE
coal_thermal,midas,23,0.7419595690238464,0.040559309873472914,2.1807916187490495,1.1672392537917542,0.1800621320056812,0.6896783689570395,0.010669697604657653,0.4781872125872463,0.19723601393364967,0.4918160272708582,0.729822940660861,0.6136062435412327,2022-09-30,2.6139749132187955,2.48829775354441,1.0505072833407363,0.5970378412729459,7,0.42857142857142855,0.8571428571428571,FALSE
coal_thermal,price_aug,23,0.703037761870614,0.04351082233422441,2.1001877370744824,1.0306970148340837,0.18370397451697587,0.573051312406606,7.51935431018037e-4,NA,NA,NA,1.8988096653771656,0.163016931658449,2022-09-30,3.0274551332793247,2.48829775354441,1.2166771958729303,0.45947365614710134,7,0.5714285714285714,0.7142857142857143,FALSE
iron_ore,aggregate,23,0.9058645708336711,0.014810078880994303,1.2978290237056418,0.476654233463673,0.09369210241662722,0.9604265885038649,0.35861953017960513,NA,NA,NA,0.5239651277854459,0.6716368275938658,2022-09-30,4.832661381942887,5.777794446198665,0.8364197492561195,0.8271779960875862,7,0.5714285714285714,0.8571428571428571,FALSE
iron_ore,bojo,23,0.6134157845516197,0.014928136903378204,1.2700892457179978,0.5035105998406102,0.09411463990342987,NA,NA,NA,NA,NA,0.21177449859984113,0.8110313596908275,2022-09-30,4.5062973742850305,5.777794446198665,0.7799338339649345,0.8497321749362884,7,0.7142857142857143,0.8571428571428571,TRUE
iron_ore,equal_avg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8517967195213,5.777794446198665,0.8397316250517359,0.8258066794097688,0,NA,NA,FALSE
iron_ore,inv_mse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.785621995465704,5.777794446198665,0.8282783404685274,0.8305259966479084,0,NA,NA,FALSE
iron_ore,lagged,22,0.8713135463207203,0.015119514059305754,1.0997680508317451,0.482134591295486,0.0983062521235243,0.9496784733086552,0.3738767811026936,NA,NA,NA,0.8573829875687426,0.5128507025186397,2022-12-31,5.765961570357675,5.777794446198665,0.9979520081665807,0.7539803524012577,7,0.7142857142857143,0.7142857142857143,FALSE
iron_ore,midas,23,0.9152819242212062,0.01404975851397823,1.4301986022112947,0.4673762689382549,0.08239745716428963,0.9773915255207315,0.6972011072201738,0.23492471149225844,0.10234099302769799,0.13011056441829846,0.37767769226047737,0.8551774988079914,2022-09-30,4.628928245092981,5.777794446198665,0.8011583465276187,0.8414423493148305,7,0.7142857142857143,0.7142857142857143,FALSE
iron_ore,price_aug,23,0.9082261863185151,0.01462312551975957,1.3520229815644267,0.47044325166985573,0.09030132134665728,0.9528573751024908,0.27995508067515745,NA,NA,NA,0.4576479786406978,0.7655850124161906,2022-09-30,4.858472637484712,5.777794446198665,0.840887069058195,0.8253269806745449,7,0.5714285714285714,0.7142857142857143,FALSE
