commodity,quarter_end,point_estimate_Am,lower_80_Am,upper_80_Am,lower_95_Am,upper_95_Am,abs_lag4_Am,disr_lag4_Mt,growth_factor,horizon
iron_ore,2026-03-31,45541.88976831103,43604.36035461212,47565.511953430476,42612.2881219333,48672.90199799048,45322,206.30579039000003,1.0048517225257283,-2
iron_ore,2026-09-30,47489.3309433491,45252.84237761724,49836.3513749671,44111.873485382166,51125.38587131823,46990,232.19570506000002,1.0106263235443522,-1
iron_ore,2026-09-30,47489.3309433491,45280.04592149591,49806.41047398541,44152.4351920871,51078.41829415364,46990,232.19570506000002,1.0106263235443522,0
coal_total,2026-03-31,22362.509126315534,21446.319408498002,23317.8385950174,20976.611655622466,23839.971041772427,22048,79.13705045,1.0142647462951524,-2
coal_total,2026-09-30,21708.831566196786,20146.780305696273,23391.99419553182,19365.906153572472,24335.208702979548,23613,94.39797329000001,0.9193593175876333,-1
coal_total,2026-09-30,21708.831566196786,20216.515049999296,23311.305969597288,19468.516434379217,24206.94815436918,23613,94.39797329000001,0.9193593175876333,0
