commodity,quarter_end,point_estimate_Mt,lower_80,upper_80,lower_95,upper_95,share_observed,run_timestamp,horizon,v_lag4_Mt,tonnage_signal_Mt,lag4_drift_Mt,intercept_Mt,other_Mt
iron_ore,2026-09-30,234.66309174757654,233.0499161721084,235.95669714902144,232.97536318702757,237.12356339610434,0.9130434782608695,2026-09-22T01:22:42Z,0,232.19570505999997,0.30928101725442886,0,2.1450881831808952,0
coal_met,2026-09-30,36.450962630038724,36.02903661681146,37.04690771583105,35.60063174737165,37.27770013698338,0.9130434782608695,2026-09-22T01:22:42Z,0,37.16318917000001,-0.2637390778537866,-35.397195657535505,34.94179487088802,0
coal_thermal,2026-09-30,50.33469367551132,49.229981631502675,51.39987278524851,48.70005542151172,51.68699543567526,0.9130434782608695,2026-09-22T01:22:42Z,0,57.234784119999986,-7.848771782913,0,0.49597628535992166,0
iron_ore,2026-12-31,NA,NA,NA,NA,NA,0,2026-09-22T01:22:42Z,1,NA,NA,NA,NA,NA
coal_met,2026-12-31,NA,NA,NA,NA,NA,0,2026-09-22T01:22:42Z,1,NA,NA,NA,NA,NA
coal_thermal,2026-12-31,NA,NA,NA,NA,NA,0,2026-09-22T01:22:42Z,1,NA,NA,NA,NA,NA
