obs_date,port_id,commodity,tonnage,vessel_count,ingested_at
2019-01-29,port955,iron_ore,2079024,3,2026-05-18T11:13:37Z
2019-01-29,port981,iron_ore,378212,1,2026-05-18T11:13:37Z
2019-01-30,port276,iron_ore,619959,1,2026-05-18T11:13:37Z
2019-01-30,port955,iron_ore,873976,1,2026-05-18T11:13:37Z
2019-01-30,port981,iron_ore,534947,1,2026-05-18T11:13:37Z
2019-01-31,port276,iron_ore,486290,1,2026-05-18T11:13:37Z
2019-01-31,port955,iron_ore,1570950,2,2026-05-18T11:13:37Z
2019-01-31,port981,iron_ore,435122,1,2026-05-18T11:13:37Z
2019-02-01,port276,iron_ore,420561,1,2026-05-18T11:13:37Z
2019-02-01,port955,iron_ore,1557941,3,2026-05-18T11:13:37Z
2019-02-01,port981,iron_ore,559009,1,2026-05-18T11:13:37Z
2019-02-02,port276,iron_ore,371338,1,2026-05-18T11:13:37Z
2019-02-02,port955,iron_ore,1000316,2,2026-05-18T11:13:37Z
2019-02-02,port981,iron_ore,567972,1,2026-05-18T11:13:37Z
2019-02-03,port276,iron_ore,382449,1,2026-05-18T11:13:37Z
2019-02-03,port955,iron_ore,1129967,2,2026-05-18T11:13:37Z
2019-02-03,port981,iron_ore,381218,1,2026-05-18T11:13:37Z
2019-02-04,port276,iron_ore,708035,2,2026-05-18T11:13:37Z
2019-02-04,port955,iron_ore,1360265,2,2026-05-18T11:13:37Z
2019-02-04,port981,iron_ore,242137,1,2026-05-18T11:13:37Z
2019-02-05,port276,iron_ore,520160,1,2026-05-18T11:13:37Z
2019-02-05,port955,iron_ore,692300,2,2026-05-18T11:13:37Z
2019-02-05,port981,iron_ore,388769,1,2026-05-18T11:13:37Z
2019-02-06,port276,iron_ore,369549,1,2026-05-18T11:13:37Z
2019-02-06,port955,iron_ore,1398925,2,2026-05-18T11:13:37Z
2019-02-06,port981,iron_ore,530583,1,2026-05-18T11:13:37Z
2019-02-07,port276,iron_ore,259090,1,2026-05-18T11:13:37Z
2019-02-07,port955,iron_ore,667358,1,2026-05-18T11:13:37Z
2019-02-07,port981,iron_ore,545999,1,2026-05-18T11:13:37Z
2019-02-08,port276,iron_ore,499045,1,2026-05-18T11:13:37Z
2019-02-08,port955,iron_ore,1420141,2,2026-05-18T11:13:37Z
2019-02-08,port981,iron_ore,501656,1,2026-05-18T11:13:37Z
2019-02-09,port276,iron_ore,339346,1,2026-05-18T11:13:37Z
2019-02-09,port955,iron_ore,1718748,2,2026-05-18T11:13:37Z
2019-02-09,port981,iron_ore,497568,1,2026-05-18T11:13:37Z
2019-02-10,port276,iron_ore,390892,1,2026-05-18T11:13:37Z
2019-02-10,port955,iron_ore,1388469,2,2026-05-18T11:13:37Z
2019-02-10,port981,iron_ore,601410,1,2026-05-18T11:13:37Z
2019-02-11,port276,iron_ore,524724,2,2026-05-18T11:13:37Z
2019-02-11,port955,iron_ore,756071,2,2026-05-18T11:13:37Z
2019-02-11,port981,iron_ore,499189,1,2026-05-18T11:13:37Z
2019-02-12,port276,iron_ore,170859,1,2026-05-18T11:13:37Z
2019-02-12,port955,iron_ore,1744326,2,2026-05-18T11:13:37Z
2019-02-12,port981,iron_ore,641872,1,2026-05-18T11:13:37Z
2019-02-13,port276,iron_ore,536484,2,2026-05-18T11:13:37Z
2019-02-13,port955,iron_ore,1193334,2,2026-05-18T11:13:37Z
2019-02-13,port981,iron_ore,517759,1,2026-05-18T11:13:37Z
2019-02-14,port276,iron_ore,202985,1,2026-05-18T11:13:37Z
2019-02-14,port955,iron_ore,954403,2,2026-05-18T11:13:37Z
2019-02-14,port981,iron_ore,529883,1,2026-05-18T11:13:37Z
2019-02-15,port276,iron_ore,480461,1,2026-05-18T11:13:37Z
2019-02-15,port955,iron_ore,710551,1,2026-05-18T11:13:37Z
2019-02-15,port981,iron_ore,599768,1,2026-05-18T11:13:37Z
2019-02-16,port276,iron_ore,670861,1,2026-05-18T11:13:37Z
2019-02-16,port955,iron_ore,1449509,2,2026-05-18T11:13:37Z
2019-02-16,port981,iron_ore,361195,1,2026-05-18T11:13:37Z
2019-02-17,port276,iron_ore,548879,1,2026-05-18T11:13:37Z
2019-02-17,port955,iron_ore,1334450,2,2026-05-18T11:13:37Z
2019-02-17,port981,iron_ore,577813,1,2026-05-18T11:13:37Z
2019-02-18,port276,iron_ore,370210,1,2026-05-18T11:13:37Z
2019-02-18,port955,iron_ore,1929892,3,2026-05-18T11:13:37Z
2019-02-18,port981,iron_ore,731858,1,2026-05-18T11:13:37Z
2019-02-19,port276,iron_ore,260147,1,2026-05-18T11:13:37Z
2019-02-19,port955,iron_ore,778641,1,2026-05-18T11:13:37Z
2019-02-19,port981,iron_ore,412529,1,2026-05-18T11:13:37Z
2019-02-20,port276,iron_ore,852612,2,2026-05-18T11:13:37Z
2019-02-20,port955,iron_ore,1412867,2,2026-05-18T11:13:37Z
2019-02-20,port981,iron_ore,521974,1,2026-05-18T11:13:37Z
2019-02-21,port276,iron_ore,199178,1,2026-05-18T11:13:37Z
2019-02-21,port955,iron_ore,1295710,2,2026-05-18T11:13:37Z
2019-02-21,port981,iron_ore,585578,1,2026-05-18T11:13:37Z
2019-02-22,port276,iron_ore,556270,1,2026-05-18T11:13:37Z
2019-02-22,port955,iron_ore,1078269,2,2026-05-18T11:13:37Z
2019-02-22,port981,iron_ore,514778,1,2026-05-18T11:13:37Z
2019-02-23,port276,iron_ore,349417,1,2026-05-18T11:13:37Z
2019-02-23,port955,iron_ore,1803158,2,2026-05-18T11:13:37Z
2019-02-23,port981,iron_ore,691586,1,2026-05-18T11:13:37Z
2019-02-24,port276,iron_ore,339628,1,2026-05-18T11:13:37Z
2019-02-24,port955,iron_ore,1039334,2,2026-05-18T11:13:37Z
2019-02-24,port981,iron_ore,744446,1,2026-05-18T11:13:37Z
2019-02-25,port276,iron_ore,165129,1,2026-05-18T11:13:37Z
2019-02-25,port955,iron_ore,1765162,2,2026-05-18T11:13:37Z
2019-02-25,port981,iron_ore,365757,1,2026-05-18T11:13:37Z
2019-02-26,port276,iron_ore,494431,1,2026-05-18T11:13:37Z
2019-02-26,port955,iron_ore,1454708,2,2026-05-18T11:13:37Z
2019-02-26,port981,iron_ore,638400,1,2026-05-18T11:13:37Z
2019-02-27,port276,iron_ore,502573,2,2026-05-18T11:13:37Z
2019-02-27,port955,iron_ore,1145378,2,2026-05-18T11:13:37Z
2019-02-27,port981,iron_ore,172821,1,2026-05-18T11:13:37Z
2019-02-28,port276,iron_ore,395229,1,2026-05-18T11:13:37Z
2019-02-28,port955,iron_ore,1343784,2,2026-05-18T11:13:37Z
2019-02-28,port981,iron_ore,576578,1,2026-05-18T11:13:37Z
2019-03-01,port276,iron_ore,342495,1,2026-05-18T11:13:37Z
2019-03-01,port955,iron_ore,1734473,3,2026-05-18T11:13:37Z
2019-03-01,port981,iron_ore,175445,1,2026-05-18T11:13:37Z
2019-03-02,port276,iron_ore,527445,1,2026-05-18T11:13:37Z
2019-03-02,port955,iron_ore,1044625,1,2026-05-18T11:13:37Z
2019-03-02,port981,iron_ore,415413,1,2026-05-18T11:13:37Z
2019-03-03,port276,iron_ore,372757,1,2026-05-18T11:13:37Z
2019-03-03,port955,iron_ore,1119172,2,2026-05-18T11:13:37Z
2019-03-03,port981,iron_ore,506772,1,2026-05-18T11:13:37Z
2019-03-04,port276,iron_ore,528225,1,2026-05-18T11:13:37Z
2019-03-04,port955,iron_ore,1772500,2,2026-05-18T11:13:37Z
2019-03-04,port981,iron_ore,376438,1,2026-05-18T11:13:37Z
2019-03-05,port276,iron_ore,575445,1,2026-05-18T11:13:37Z
2019-03-05,port955,iron_ore,805202,1,2026-05-18T11:13:37Z
2019-03-05,port981,iron_ore,699839,1,2026-05-18T11:13:37Z
2019-03-06,port276,iron_ore,258125,1,2026-05-18T11:13:37Z
2019-03-06,port955,iron_ore,1531979,2,2026-05-18T11:13:37Z
2019-03-06,port981,iron_ore,412147,1,2026-05-18T11:13:37Z
2019-03-07,port276,iron_ore,218079,1,2026-05-18T11:13:37Z
2019-03-07,port955,iron_ore,1409879,2,2026-05-18T11:13:37Z
2019-03-07,port981,iron_ore,648637,1,2026-05-18T11:13:37Z
2019-03-08,port276,iron_ore,542543,1,2026-05-18T11:13:37Z
2019-03-08,port955,iron_ore,1042219,2,2026-05-18T11:13:37Z
2019-03-08,port981,iron_ore,727702,1,2026-05-18T11:13:37Z
2019-03-09,port276,iron_ore,199480,1,2026-05-18T11:13:37Z
2019-03-09,port955,iron_ore,1532763,3,2026-05-18T11:13:37Z
2019-03-09,port981,iron_ore,142003,1,2026-05-18T11:13:37Z
2019-03-10,port276,iron_ore,514072,1,2026-05-18T11:13:37Z
2019-03-10,port955,iron_ore,1377868,2,2026-05-18T11:13:37Z
2019-03-10,port981,iron_ore,343072,1,2026-05-18T11:13:37Z
2019-03-11,port276,iron_ore,370828,2,2026-05-18T11:13:37Z
2019-03-11,port955,iron_ore,1420659,2,2026-05-18T11:13:37Z
2019-03-11,port981,iron_ore,580873,1,2026-05-18T11:13:37Z
2019-03-12,port276,iron_ore,341816,1,2026-05-18T11:13:37Z
2019-03-12,port955,iron_ore,1387286,2,2026-05-18T11:13:37Z
2019-03-12,port981,iron_ore,534881,1,2026-05-18T11:13:37Z
2019-03-13,port276,iron_ore,336453,1,2026-05-18T11:13:37Z
2019-03-13,port955,iron_ore,1022039,2,2026-05-18T11:13:37Z
2019-03-13,port981,iron_ore,391088,1,2026-05-18T11:13:37Z
2019-03-14,port276,iron_ore,227062,1,2026-05-18T11:13:37Z
2019-03-14,port955,iron_ore,1365965,2,2026-05-18T11:13:37Z
2019-03-14,port981,iron_ore,541443,1,2026-05-18T11:13:37Z
2019-03-15,port276,iron_ore,555020,1,2026-05-18T11:13:37Z
2019-03-15,port955,iron_ore,1431014,2,2026-05-18T11:13:37Z
2019-03-15,port981,iron_ore,710094,1,2026-05-18T11:13:37Z
2019-03-16,port276,iron_ore,446910,2,2026-05-18T11:13:37Z
2019-03-16,port955,iron_ore,1184457,2,2026-05-18T11:13:37Z
2019-03-16,port981,iron_ore,334585,1,2026-05-18T11:13:37Z
2019-03-17,port276,iron_ore,198998,1,2026-05-18T11:13:37Z
2019-03-17,port955,iron_ore,1915587,3,2026-05-18T11:13:37Z
2019-03-17,port981,iron_ore,100162,1,2026-05-18T11:13:37Z
2019-03-18,port276,iron_ore,172421,1,2026-05-18T11:13:37Z
2019-03-18,port955,iron_ore,1557839,2,2026-05-18T11:13:37Z
2019-03-18,port981,iron_ore,683236,1,2026-05-18T11:13:37Z
2019-03-19,port276,iron_ore,172138,1,2026-05-18T11:13:37Z
2019-03-19,port955,iron_ore,950912,2,2026-05-18T11:13:37Z
2019-03-19,port981,iron_ore,24561,1,2026-05-18T11:13:37Z
2019-03-20,port276,iron_ore,117280,1,2026-05-18T11:13:37Z
2019-03-20,port955,iron_ore,1168928,2,2026-05-18T11:13:37Z
2019-03-25,port955,iron_ore,387748,1,2026-05-18T11:13:37Z
2019-03-26,port955,iron_ore,1262604,2,2026-05-18T11:13:37Z
2019-03-27,port276,iron_ore,838629,2,2026-05-18T11:13:37Z
2019-03-27,port955,iron_ore,778705,2,2026-05-18T11:13:37Z
2019-03-28,port276,iron_ore,523127,1,2026-05-18T11:13:37Z
2019-03-28,port955,iron_ore,446485,1,2026-05-18T11:13:37Z
2019-03-28,port981,iron_ore,168656,1,2026-05-18T11:13:37Z
2019-03-29,port276,iron_ore,62194,1,2026-05-18T11:13:37Z
2019-03-29,port955,iron_ore,1470921,2,2026-05-18T11:13:37Z
2019-03-29,port981,iron_ore,155070,1,2026-05-18T11:13:37Z
2019-03-30,port276,iron_ore,572752,1,2026-05-18T11:13:37Z
2019-03-30,port955,iron_ore,1312712,2,2026-05-18T11:13:37Z
2019-03-30,port981,iron_ore,366373,1,2026-05-18T11:13:37Z
2019-03-31,port276,iron_ore,494512,1,2026-05-18T11:13:37Z
2019-03-31,port955,iron_ore,1470718,2,2026-05-18T11:13:37Z
2019-03-31,port981,iron_ore,240756,1,2026-05-18T11:13:37Z
2019-04-01,port276,iron_ore,609814,2,2026-05-18T11:13:37Z
2019-04-01,port955,iron_ore,2169115,3,2026-05-18T11:13:37Z
2019-04-01,port981,iron_ore,165407,1,2026-05-18T11:13:37Z
2019-04-02,port276,iron_ore,216000,1,2026-05-18T11:13:37Z
2019-04-02,port955,iron_ore,1014451,2,2026-05-18T11:13:37Z
2019-04-02,port981,iron_ore,356354,1,2026-05-18T11:13:37Z
2019-04-03,port276,iron_ore,516911,1,2026-05-18T11:13:37Z
2019-04-03,port955,iron_ore,1001558,2,2026-05-18T11:13:37Z
2019-04-03,port981,iron_ore,371460,1,2026-05-18T11:13:37Z
2019-04-04,port276,iron_ore,476322,1,2026-05-18T11:13:37Z
2019-04-04,port955,iron_ore,1791777,2,2026-05-18T11:13:37Z
2019-04-04,port981,iron_ore,596127,1,2026-05-18T11:13:37Z
2019-04-05,port276,iron_ore,400542,2,2026-05-18T11:13:37Z
2019-04-05,port955,iron_ore,1364211,2,2026-05-18T11:13:37Z
2019-04-05,port981,iron_ore,365880,1,2026-05-18T11:13:37Z
2019-04-06,port276,iron_ore,202840,1,2026-05-18T11:13:37Z
2019-04-06,port955,iron_ore,1242993,2,2026-05-18T11:13:37Z
2019-04-06,port981,iron_ore,221857,1,2026-05-18T11:13:37Z
2019-04-07,port276,iron_ore,264607,1,2026-05-18T11:13:37Z
2019-04-07,port955,iron_ore,1438509,2,2026-05-18T11:13:37Z
2019-04-07,port981,iron_ore,333622,1,2026-05-18T11:13:37Z
2019-04-08,port276,iron_ore,310105,1,2026-05-18T11:13:37Z
2019-04-08,port955,iron_ore,1665682,2,2026-05-18T11:13:37Z
2019-04-09,port276,iron_ore,442029,1,2026-05-18T11:13:37Z
2019-04-09,port955,iron_ore,1019578,2,2026-05-18T11:13:37Z
2019-04-09,port981,iron_ore,901424,1,2026-05-18T11:13:37Z
2019-04-10,port276,iron_ore,531467,1,2026-05-18T11:13:37Z
2019-04-10,port955,iron_ore,1491152,2,2026-05-18T11:13:37Z
2019-04-10,port981,iron_ore,361790,1,2026-05-18T11:13:37Z
2019-04-11,port276,iron_ore,536104,1,2026-05-18T11:13:37Z
2019-04-11,port955,iron_ore,1546929,3,2026-05-18T11:13:37Z
2019-04-11,port981,iron_ore,677918,1,2026-05-18T11:13:37Z
2019-04-12,port276,iron_ore,333953,1,2026-05-18T11:13:37Z
2019-04-12,port955,iron_ore,860584,2,2026-05-18T11:13:37Z
2019-04-12,port981,iron_ore,471022,1,2026-05-18T11:13:37Z
2019-04-13,port276,iron_ore,503161,1,2026-05-18T11:13:37Z
2019-04-13,port955,iron_ore,1357385,2,2026-05-18T11:13:37Z
2019-04-13,port981,iron_ore,911738,2,2026-05-18T11:13:37Z
2019-04-14,port276,iron_ore,248922,1,2026-05-18T11:13:37Z
2019-04-14,port955,iron_ore,387069,1,2026-05-18T11:13:37Z
2019-04-14,port981,iron_ore,543257,1,2026-05-18T11:13:37Z
2019-04-15,port276,iron_ore,515741,1,2026-05-18T11:13:37Z
2019-04-15,port955,iron_ore,2014447,2,2026-05-18T11:13:37Z
2019-04-15,port981,iron_ore,170244,1,2026-05-18T11:13:37Z
2019-04-16,port276,iron_ore,350059,1,2026-05-18T11:13:37Z
2019-04-16,port955,iron_ore,1304701,2,2026-05-18T11:13:37Z
2019-04-16,port981,iron_ore,372891,1,2026-05-18T11:13:37Z
2019-04-17,port276,iron_ore,593644,2,2026-05-18T11:13:37Z
2019-04-17,port955,iron_ore,1260358,2,2026-05-18T11:13:37Z
2019-04-17,port981,iron_ore,754186,1,2026-05-18T11:13:37Z
2019-04-18,port276,iron_ore,347517,1,2026-05-18T11:13:37Z
2019-04-18,port955,iron_ore,1357806,2,2026-05-18T11:13:37Z
2019-04-18,port981,iron_ore,817410,1,2026-05-18T11:13:37Z
2019-04-19,port276,iron_ore,257560,1,2026-05-18T11:13:37Z
2019-04-19,port955,iron_ore,1335772,2,2026-05-18T11:13:37Z
2019-04-19,port981,iron_ore,332454,1,2026-05-18T11:13:37Z
2019-04-20,port276,iron_ore,553355,1,2026-05-18T11:13:37Z
2019-04-20,port955,iron_ore,1772590,2,2026-05-18T11:13:37Z
2019-04-20,port981,iron_ore,401602,1,2026-05-18T11:13:37Z
2019-04-21,port276,iron_ore,478322,1,2026-05-18T11:13:37Z
2019-04-21,port955,iron_ore,1314488,2,2026-05-18T11:13:37Z
2019-04-21,port981,iron_ore,175311,1,2026-05-18T11:13:37Z
2019-04-22,port276,iron_ore,519987,1,2026-05-18T11:13:37Z
2019-04-22,port955,iron_ore,1083095,2,2026-05-18T11:13:37Z
2019-04-22,port981,iron_ore,565423,1,2026-05-18T11:13:37Z
2019-04-23,port276,iron_ore,370908,1,2026-05-18T11:13:37Z
2019-04-23,port955,iron_ore,912538,1,2026-05-18T11:13:37Z
2019-04-23,port981,iron_ore,545448,1,2026-05-18T11:13:37Z
2019-04-24,port276,iron_ore,498497,1,2026-05-18T11:13:37Z
2019-04-24,port955,iron_ore,1376577,2,2026-05-18T11:13:37Z
2019-04-24,port981,iron_ore,558249,1,2026-05-18T11:13:37Z
2019-04-25,port276,iron_ore,405096,1,2026-05-18T11:13:37Z
2019-04-25,port955,iron_ore,1443316,2,2026-05-18T11:13:37Z
2019-04-25,port981,iron_ore,338982,1,2026-05-18T11:13:37Z
2019-04-26,port276,iron_ore,205778,1,2026-05-18T11:13:37Z
2019-04-26,port955,iron_ore,839256,2,2026-05-18T11:13:37Z
2019-04-26,port981,iron_ore,540422,1,2026-05-18T11:13:37Z
2019-04-27,port276,iron_ore,336215,1,2026-05-18T11:13:37Z
2019-04-27,port955,iron_ore,1352792,2,2026-05-18T11:13:37Z
2019-04-27,port981,iron_ore,531525,1,2026-05-18T11:13:37Z
2019-04-28,port276,iron_ore,377245,1,2026-05-18T11:13:37Z
2019-04-28,port955,iron_ore,791344,1,2026-05-18T11:13:37Z
2019-04-28,port981,iron_ore,356783,1,2026-05-18T11:13:37Z
2019-04-29,port276,iron_ore,649162,1,2026-05-18T11:13:37Z
2019-04-29,port955,iron_ore,2369261,3,2026-05-18T11:13:37Z
2019-04-29,port981,iron_ore,163016,1,2026-05-18T11:13:37Z
2019-04-30,port276,iron_ore,486591,1,2026-05-18T11:13:37Z
2019-04-30,port955,iron_ore,793446,1,2026-05-18T11:13:37Z
2019-04-30,port981,iron_ore,531628,1,2026-05-18T11:13:37Z
2019-05-01,port276,iron_ore,285432,1,2026-05-18T11:13:37Z
2019-05-01,port955,iron_ore,2024324,3,2026-05-18T11:13:37Z
2019-05-01,port981,iron_ore,218653,1,2026-05-18T11:13:37Z
2019-05-02,port276,iron_ore,514194,1,2026-05-18T11:13:37Z
2019-05-02,port955,iron_ore,1012145,2,2026-05-18T11:13:37Z
2019-05-02,port981,iron_ore,426202,1,2026-05-18T11:13:37Z
2019-05-03,port276,iron_ore,340900,1,2026-05-18T11:13:37Z
2019-05-03,port955,iron_ore,1321982,2,2026-05-18T11:13:37Z
2019-05-03,port981,iron_ore,809214,1,2026-05-18T11:13:37Z
2019-05-04,port276,iron_ore,527532,1,2026-05-18T11:13:37Z
2019-05-04,port955,iron_ore,1377413,2,2026-05-18T11:13:37Z
2019-05-04,port981,iron_ore,764703,1,2026-05-18T11:13:37Z
2019-05-05,port276,iron_ore,563226,1,2026-05-18T11:13:37Z
2019-05-05,port955,iron_ore,1259986,2,2026-05-18T11:13:37Z
2019-05-05,port981,iron_ore,482386,1,2026-05-18T11:13:37Z
2019-05-06,port276,iron_ore,166227,1,2026-05-18T11:13:37Z
2019-05-06,port955,iron_ore,1082533,2,2026-05-18T11:13:37Z
2019-05-06,port981,iron_ore,723306,1,2026-05-18T11:13:37Z
2019-05-07,port276,iron_ore,385705,2,2026-05-18T11:13:37Z
2019-05-07,port955,iron_ore,1432214,2,2026-05-18T11:13:37Z
2019-05-07,port981,iron_ore,414416,1,2026-05-18T11:13:37Z
2019-05-08,port276,iron_ore,341025,1,2026-05-18T11:13:37Z
2019-05-08,port955,iron_ore,1114389,2,2026-05-18T11:13:37Z
2019-05-08,port981,iron_ore,560399,1,2026-05-18T11:13:37Z
2019-05-09,port276,iron_ore,261306,1,2026-05-18T11:13:37Z
2019-05-09,port955,iron_ore,1288659,2,2026-05-18T11:13:37Z
2019-05-09,port981,iron_ore,277067,1,2026-05-18T11:13:37Z
2019-05-10,port276,iron_ore,535568,1,2026-05-18T11:13:37Z
2019-05-10,port955,iron_ore,1284897,2,2026-05-18T11:13:37Z
2019-05-10,port981,iron_ore,574153,1,2026-05-18T11:13:37Z
2019-05-11,port276,iron_ore,491884,2,2026-05-18T11:13:37Z
2019-05-11,port955,iron_ore,1141009,2,2026-05-18T11:13:37Z
2019-05-11,port981,iron_ore,685268,1,2026-05-18T11:13:37Z
2019-05-12,port276,iron_ore,540519,1,2026-05-18T11:13:37Z
2019-05-12,port955,iron_ore,1991602,3,2026-05-18T11:13:37Z
2019-05-12,port981,iron_ore,491192,1,2026-05-18T11:13:37Z
2019-05-13,port276,iron_ore,360665,1,2026-05-18T11:13:37Z
2019-05-13,port955,iron_ore,935902,2,2026-05-18T11:13:37Z
2019-05-13,port981,iron_ore,605070,1,2026-05-18T11:13:37Z
2019-05-14,port276,iron_ore,570710,1,2026-05-18T11:13:37Z
